video_name,recorded_line_length_px,recorded_line_length_mm,recorded_angle
video1,346,1053,-2.15
video2,431,1218,179.07
video3,362,1155,179.53
video4,305,1166,-1.13
video5,303,1151,-1.7
video6,160,635,1.43
video7,361,1139,-2.54
video8,367,1068,177.04
video9,397,1122,-1.44
video10,349,1127,180.0
video11,248,860,179.54
video12,304,1755,175.85
video13,288,1945,179.2
video14,801,8501,176.99
video15,279,1296,-1.44
video16,381,1801,-0.15
video17,364,1912,-0.47
video18,368,1664,179.69
video19,411,1925,180.0
video20,410,2011,180.0
video1,346
video1,346
